publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	coverage_depth	coverage_notes	publisher_name	linking_issn
serial	Rheinisches Museum für Philologie, Geschichte und griechische Philosophie	0939-2718		1827	1		1832	3				container_vuge3sekj5atvjxok4tylq24be	fulltext		Weber ; JSTOR	0939-2718
serial	Dokuz Eylül Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi	1302-504X	2147-7973	2016	31		2020	34				container_w2gkciasufhnvkeekjyjmjpsi4	fulltext		Dokuz Eylul Universitesi Iktisadi ve Idari Bilimler Dergisi	1302-504X
serial	ISRN Cell Biology	2090-7370	2090-7389	2013	2013		2014	2014				container_cg4g3tljsvbpbg5ylo5oq7iufm	fulltext		Hindawi (International Scholarly Research Network)	2090-7370
serial	Jurnal nady al-adab	0126-3531	1693-8135	2018	15		2020	17				container_qbuy5jcxf5he7b3nb223uocc24	fulltext		Departemen Sastra Asia Barat Fakultas Ilmu Budaya, Universitas Hasanuddin	1693-8135
serial	Circumpolar Health Supplements	1797-2361	1797-237X	2002	61		2006	65				container_e2o3ynlhkbdsfl4m6otvocwlqq	fulltext		International Association of Circumpolar Health Pu	1797-2361
serial	Revista Brasileira de Fisiologia Vegetal	0103-3131	1806-9355	2000	12		2001	13				container_omzhuaqtkvdcticttnusbwnb2a	fulltext		SciELO	0103-3131
serial	Wahana Teknik Sipil: Jurnal Pengembangan Teknik Sipil	0853-8727	2527-4333	2019	24		2020	25				container_mmjbxiycd5bfnfgablkcm2bp4i	fulltext		Politeknik Negeri Semarang	0853-8727
serial	Itqan	2086-7018		2020	11		2021	12				container_pjbssbzpmnbgtbzcdhij4pgguq	fulltext			2086-7018
serial	Journal of health science	1344-9702	1347-5207	2000	46		2011	57				container_klk77d6xarehlefa53yspl4lge	fulltext		Pharmaceutical Society of Japan	1344-9702
serial	ISRN Nephrology		2314-405X	2013	2013		2014	2014				container_izxelzhckzgfdibjmzesdkkyjq	fulltext		Hindawi (International Scholarly Research Network)	2314-405X
serial	West of England medical journal	0960-6440	2050-8530	1990	105		1992	107				container_4wfkjs6wq5ckdenamgs7az3h44	fulltext		Clinical Press	0960-6440
serial	Molecular Biology International	2090-2182	2090-2190	2010	2010		2021	2021				container_pktsbpmipjeudkwerg6oykjspy	fulltext		Hindawi Limited	2090-2182
serial	Korean Journal of Plant Resources	1226-3591		2011	24		2013	26				container_omf7jmr6uvblvmemw73eacw77y	fulltext		The Plant  Resources Society of Korea	1226-3591
serial	Open Journal of Molecular and Integrative Physiology	2162-2159	2162-2167	2011	1		2023	13				container_ody6q77qibeabpl57z4pmjcfpi	fulltext		Scientific Research Publishing, Inc	2162-2167
serial	Sri Lanka Journal of the Humanities	0378-486X	2279-3321	2014	37		2018	41				container_id6uhwfjhnai5efv3tmyhqpnum	fulltext		Sri Lanka Journals Online	0378-486X
serial	Zastita bilja	0372-7866		2014	65		2015	66				container_hjnczmgflvblfdll56murfmcaq	fulltext		Centre for Evaluation in Education and Science	0372-7866
serial	Bulletin of the Chinese Academy of Sciences	1003-3572	1000-3045	2020	34		2022	36				container_uvsnrczigzcqhjiv6uqbc7q7d4	fulltext		Zhongguo Kexueyuan, Haiyang Yanjiusuo	1003-3572
serial	Polish Journal of Soil Science	0079-2985	2449-8254	2015	47		2020	53				container_mwfvqo7c7zetpjsve5mrdqnlku	fulltext		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej w Lublinie	0079-2985
serial	ISRN Urology	2090-5807	2090-5815	2011	2011		2014	2014				container_r2siwkrsxvez3oit4a7sn6krfm	fulltext		Hindawi (International Scholarly Research Network)	2090-5807
serial	Journal of Animal Science and Technology		2055-0391	2014	56		2020	62				container_zdnb4zgf2jhc7mqeampbjb676q	fulltext		Korean Society of Animal Sciences and Technology	2055-0391
serial	International Journal of Bacteriology	2356-6957	2314-596X	2013	2013		2018	2018				container_aiqq3pgsonggzfoefr3os2kr4u	fulltext		Hindawi Limited	2314-596X
serial	ISRN Microbiology	2090-7478	2090-7486	2011	2011		2014	2014				container_pcblosmtrrhthidxr3ld7f62ee	fulltext		Hindawi (International Scholarly Research Network)	2090-7478
serial	Fitopatologia Brasileira	0100-4158	1678-4677	2001	26		2007	32				container_ewsyksdmrrbfjbf7knpaxv4uny	fulltext		SciELO	0100-4158
serial	Journal of Medical Engineering	2314-5129	2314-5137	2013	2013		2017	2017				container_azbs54qz2vdb5d25snmvxdrfxm	fulltext		Hindawi Limited	2314-5129
serial	Summit on translational bioinformatics		2153-6430	2008	2008		2009	2009				container_5xhpnukwtrdadepv5ujpxz4s54	fulltext			2153-6430
serial	The Proceedings of the Circle of Television Engineers		1884-9598	1947	1		1950	4				container_polyovhpizdppdvurelaedoppm	fulltext		The Institute of Image Information and Television Engineers	1884-9598
serial	Social Research Reports	2066-6861	2067-5941	2019	11		2021	13				container_uai32c5mbjb57jfjrf4jfr4aeu	fulltext		Expert Projects	2066-6861
serial	Revista de análisis económico	0716-5927	0718-8870	2009	24		2021	36				container_pubad2ozmfftnoh6zfg3xqlv6i	fulltext		SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica	0716-5927
serial	Jurnal akuntansi bisnis	1412-775X	2541-5204	2018	15		2022	20				container_2wabk2gmxjhn3jpvowxogkca4a	fulltext		Soegijapranata Catholic University	1412-775X
serial	Advances in Biomedicine and Pharmacy		2313-7479	2014	1		2017	4				container_mj5a6r4rpnb43fywwqlobfugna	fulltext		International Scientific Publishers	2313-7479
serial	Jurnal RAP (Riset Aktual Psikologi Universitas Negeri Padang)	2087-8699	2622-6626	2019	10		2022	12				container_mb7xonlri5bpzir6fxqcu7pv4i	fulltext		Universitas Negeri Padang (UNP)	2087-8699
serial	Just TI (Jurnal Sains Terapan Teknologi Informasi)	2085-6458	2579-4310	2019	10		2021	13				container_ndsdec6egjgltj7y6prfs47joy	fulltext		Edutourism Journal Of Tourism Research, Samarinda State Polytechnic	2085-6458
serial	Journal of Theoretical Chemistry	2356-7686	2314-6184	2015	2015		2016	2016				container_2pl4fer4ybeqvkb7b3syhpdrqu	fulltext		Hindawi Limited	2314-6184
serial	Buletin Ekonomi Moneter dan Perbankan	1410-8046	2460-9196	2018	21		2020	23				container_uxzs22lklnfz3gi7cxrn5uh2cy	fulltext		Bank Indonesia, Central Banking Research Department	2460-9196
serial	The Catholic lawyer	0008-8137		1975	21		1995	40				container_mtiza7jjrrhsroofsetwro2umm	fulltext		St. John's University	0008-8137
serial	Jurnal ilmiah hukum dan dinamika masyarakat	0854-2031	2460-9005	2018	15		2021	19				container_hskiidr4gfa5tk7xk2jsv2m64u	fulltext		Fakultas Hukum UNTAG Semarang	2460-9005
serial	JSME international journal. Series B, Fluids and thermal engineering	1340-8054	1347-5371	1993	36		2006	49				container_sjmahfdxsnfppmcvpi6il5h3pi	fulltext		The Japan Society of Mechanical Engineers	1340-8054
serial	Primary	2086-1362	2623-2685	2018	10		2021	13				container_buoiy7schnc6tkk6pzjljmbfci	fulltext		Lembaga Penelitian dan Pengabdian kepada Masyarakat (LP2M) Universitas Islam Negeri (UIN) Sultan Maulana Hasanuddin Banten	2086-1362
serial	Vegetable Crops Research Bulletin	1506-9427	1898-7761	2007	66		2012	77				container_ktd3v2xxh5dhjknhqjsw3vsjuq	fulltext		Instytut Warzywnictwa	1506-9427
serial	ISRN Parasitology		2314-4076	2013	2013		2014	2014				container_df4iik34s5c4phqyxj7f6yfo6y	fulltext		Hindawi (International Scholarly Research Network)	2314-4076
serial	European Journal of Medical and Educational Technologies		2732-4109	2020	13		2021	15				container_r2vhqzrcpncjdalvwufp4dmysm	fulltext		Bastas Publications	2732-4109
serial	Biblionline		1809-4775	2017	13		2021	16				container_7edesopwkbamlg6odpyngjqxre	fulltext		Portal de Periodicos UFPB	1809-4775
serial	JURNAL BUDIDAYA PERTANIAN	1858-4322	2620-892X	2017	13		2021	17				container_exevhiwserdc5geclmtkywn2ri	fulltext		Universitas Pattimura	1858-4322
serial	Revista Brasileira de Engenharia de Pesca	1980-587X	2175-3008	2017	10		2020	12				container_l4dcuhx6lvdinonrdxs46clwt4	fulltext		Universidade Estadual do Maranhao	1980-587X
serial	Bangladesh Journal of Psychiatry	1728-4406		2017	28		2019	31				container_e5cg5xvpwfa2xblmvateblqwaa	fulltext		Bangladesh Journals Online	1728-4406
serial	Development & Reproduction	1226-6752	2287-7967	2012	16		2013	17				container_urx2x2yjvnb3tecqwezym4qcqy	fulltext		Korean Society of Developmental Biology	1226-6752
serial	Jurnal Teknologi Kesehatan (Journal of Health Technology)	0216-4981	2613-9944	2017	13		2021	17				container_2c4g7df26vboza3hsoaooibq6a	fulltext		Poltekkes Kemenkes Yogyakarta	0216-4981
serial	Parafrase : jurnal kajian kebahasaan dan kesastraan	0854-6126	2580-5886	2018	17		2022	22				container_gs6c6glja5hlpc77sx4uv6kjqi	fulltext		Universitas 17 Agustus 1945 Surabaya	1412-6206
serial	ISRN Preventive Medicine		2090-8784	2013	2013		2014	2014				container_ttkh4xl47rb7vowjztnmis5fzm	fulltext		Hindawi (International Scholarly Research Network)	2090-8784
serial	Annals of Behavioural Science		2471-7975	2017	3		2018	4				container_dkuguyyg6bepjcc34yfwlskcim	fulltext		Scitechnol Biosoft Pvt. Ltd	2471-7975
serial	The Medical journal of the South-West	0369-0458		1953	70		1962	77				container_5cgsd47hirbphiryrko6x24saq	fulltext		J. W. Arrowsmith	0369-0458
serial	Probability and Mathematical Statistics	0208-4147	2300-8113	2018	37		2019	39				container_n2nca6owyfaala54l6naklokhu	fulltext		Uniwersytet Wrocławski	0208-4147
serial	Real Estate Management and Valuation	1733-2478	1733-2478	2013	21		2014	22				container_fo2q5gleo5cldddzo7hjy2enaq	fulltext		De Gruyter Open Sp. z o.o.	1733-2478
serial	Alergia, Asma e Inmunología Pediátricas	1405-1699		2019	28		2021	30				container_sqc75nptaffpnixoqcw7w5nty4	fulltext		GRAPHIMEDIC SA DE CV	1405-1699
serial	Referate und Beiträge zur Anatomie und Entwickelungsgeschichte	0177-5154	1432-0568	1892	12		1920	59				container_44wpbbuwc5fcpoo7cba57o3ulm	fulltext		Springer-Verlag	0177-5154
serial	Ciencia & trabajo	0718-0306	0718-2449	2011	13		2018	20				container_xtttpfvlnzbrlg4rqvcu3scwga	fulltext		SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica	0718-0306
serial	Revista Ceuma Perspectiva	1415-3068	2525-5576	2016	27		2020	34				container_maxnacquhrfh5afkc7b7bbk4sm	fulltext		Ceuma Associacao de Ensino Superior	1415-3068
serial	Tribologia - Finnish Journal of Tribology	0780-2285	1797-2531	2019	36		2021	38				container_d3wo44t7xnapffftxth6epvj5a	fulltext		Tribologia - Finnish Journal of Tribology	0780-2285
serial	Nepal Journal of Dermatology Venereology & Leprology	2091-0231	2091-167X	2012	10		2021	19				container_jgeagy7iprg2rn332fcitjcake	fulltext		Nepal Journals Online	2091-0231
serial	Archives of Acoustics	0137-5075	2300-262X	2010	35		2022	42				container_tinfbwdufzcfjoorslmtna6qd4	fulltext		De Gruyter Open Sp. z o.o.	0137-5075
serial	Sri Lanka Journal of Bio-Medical Informatics	2012-6077	2651-0162	2019	10		2020	11				container_4c7krmw65zdaljhqg2kbs32tlu	fulltext		Sri Lanka Journals Online (JOL)	2651-0162
serial	International Proceedings of Chemical Biological and Environmental Engineering	2010-4618	2010-4618	2012	39		2015	95				container_dqbhvi5bybfathmtjcwasu2k7a	fulltext		IACSIT Press	2010-4618
serial	Bioenergetics Open access	NA	2167-7662	2012	1		2016	5				container_5tekmc2n55d5hparmpncg5nxhi	fulltext		OMICS Publishing Group	2167-7662
serial	ISRN Inflammation		2090-8695	2012	2012		2014	2014				container_pveqtg2ktfgi3aqi2vuo2snwgq	fulltext		Hindawi (International Scholarly Research Network)	2090-8695
serial	Experimental Diabetes Research	1687-5214	1687-5303	2007	2007		2012	2012				container_lh7zdaxxprdzzdjeoyjgminoki	fulltext		Hindawi Limited	1687-5214
serial	Economic and Environmental Studies	1642-2597	2081-8319	2017	17		2020	19				container_2c2nt6q6cfgffmnd6ocmdccm3m	fulltext		Uniwersytet Opolski	1642-2597
serial	ISRN Organic Chemistry	2090-5149	2090-5157	2011	2011		2014	2014				container_zlvobdttwjam7k7boawlews7ku	fulltext		Hindawi (International Scholarly Research Network)	2090-5149
serial	Malaria Research and Treatment	2090-8075	2044-4362	2010	2010		2020	2020				container_l3aq3wgiwfgrnlo2auplzb6rju	fulltext		Hindawi Publishing Corporation (Sage-Hindawi Access to Research)	2044-4362
serial	Periodica Polytechnica Architecture	0324-590X	1789-3437	2007	0		2016	47				container_vi22ntrxybey3mziivp2e7xyf4	fulltext		Periodica Polytechnica, Budapest University of Technology and Economics	0324-590X
serial	ISRN Public Health	2090-8008	2090-8008	2012	2012		2014	2014				container_qqmw7eknkjc7njnytz7yse3ipm	fulltext		Hindawi (International Scholarly Research Network)	2090-8008
serial	Physical Disabilities Education and Related Services		2372-451X	2013	32		2019	38				container_vvvxhlg2xbfjzi7cuds7c7plbe	fulltext		IUScholarWorks	2372-451X
serial	Songklanagarind Medical Journal	0125-8435	2465-468X	2016	35		2018	36				container_6l4gafzdyjb63luwrfesmfocy4	fulltext		Faculty of Medicine Prince of Songkla University	2465-468X
serial	BANTAO Journal		2451-3105	2014	12		2017	15				container_xyrn6y7scvgcph4agrp42wmn3u	fulltext		Sciendo	2451-3105
serial	Grønlands Geologiske Undersøgelse Bulletin	0105-3507		1948	10		1996	172				container_n3mkdyhuofeurffa4u5ippovbq	fulltext		Geological Survey of Denmark and Greenland	0105-3507
serial	Acta Universitatis Nicolai Copernici Zarządzanie	0860-1232	0860-1232	2011	38		2015	42				container_pqggulenmvgn3c4lufetpiltjm	fulltext		Uniwersytet Mikołaja Kopernika w Toruniu (Nicolaus Copernicus University in Toruń)	0860-1232
serial	Iranian Society of Crops and Plant Breeding Sciences	1562-5540		2019	21		2020	22				container_xzdexm2gs5b6jj6pwnpbvk3sb4	fulltext		Armenian Green Publishing Co.	1562-5540
serial	Sains Humanika		2289-6996	2020	12		2022	14				container_aoiislhas5f3tabjqa7sw3c27i	fulltext		Penerbit UTM Press	2289-6996
serial	LOA: Jurnal Ketatabahasaan dan Kesusastraan	1907-073X	2714-8653	2019	14		2022	17				container_lhsoqqzrizhodgkw4sulqh4z7e	fulltext		Badan Pengembangan dan Pembinaan Bahasa	1907-073X
serial	Investigação Filosófica		2179-6742	2019	10		2020	11				container_bc4pjscfsncgbitbg5pdfkt5vu	fulltext		Universidade Federal do Amapa	2179-6742
serial	"Научни трудове – Висше военноморско училище ""Н Й Вапцаров"""	1312-0867		2017	31		2018	32				container_anyvgpkahzdfzifjdngvhdngt4	fulltext		Medical University Prof. Dr. Praskev Stoyanov - Varna	1312-0867
serial	Economía UNAM	1665-952X		2013	10		2016	13				container_6t6jershj5gc7mqxx7z2sineny	fulltext		Universidad Nacional Autonoma de Mexico	1665-952X
serial	Permana : Jurnal Perpajakan, Manajemen, dan Akuntansi	2085-8469	2685-600X	2018	10		2021	13				container_fe4rnu7zpvg55jxfto3atbdqgi	fulltext		Universitas Pancasakti	2085-8469
serial	Ecotoxicology and Environmental contamination	2317-9643	2317-9643	2010	10		2023	17				container_le3pej52rremfjsrhywh3344ky	fulltext		Ecototoxicology and Environmental Contamination	2317-9643
serial	Kansei Engineering International Journal	1884-0841	2185-7865	2009	10		2012	11				container_jrcxgpotanbj5ioognstungkoq	fulltext		Japan  Society of Kansei Engineering	1884-0841
serial	UNOPAR Científica Ciências Jurídicas e Empresariais = Revista de Ciências Jurídicas e Empresariais	1517-9427	2317-4005	2015	16		2016	17				container_kwr3p34uo5ezlfcsrjwo5hzszu	fulltext		Editora e Distribuidora Educacional	1517-9427
serial	Miscelânea: Revista de Literatura e Vida Social	0104-3420	1984-2899	2017	21		2018	24				container_5lezx2gwcnbxdmtiwbtr53l32m	fulltext		UNESP - Universidade Estadual Paulista	0104-3420
serial	Japanese Journal of Tropical Medicine	0303-836X	2186-1803	1969	10		1970	11				container_e4rwecbiabagfjybmzwi4vbwm4	fulltext		Japanese Society of Tropical Medicine	0303-836X
serial	Studia Regionalia	0860-3375		2016	46		2017	52				container_uwbtvjhzjnbytoeoxq3tcon5rq	fulltext		Bogucki Wydawnictwo Naukowe	0860-3375
serial	Turkiye Klinikleri Journal of Endocrinology	1304-0529	2146-8923	2015	10		2016	11				container_wnmv3c2cs5fbhjedlpu5tw2gnu	fulltext		Ortadogu Reklam Tanitim Yayincilik Turizm Egitim Insaat Sanayi ve Ticaret A.S	1304-0529
serial	Annual convention of the Japanese Association of Health Psychology proceedings		2189-8812	2018	31		2020	33				container_y2qqbq5tubh5lnmxdutu4hqhqm	fulltext		Japanese Association of Health Pyschology	2189-8812
serial	Journal of Biosafety & Health Education		2332-0893	2012	1		2014	2				container_wsb3hg7445gf3f2vfb4yhjhjnu	fulltext		OMICS Publishing Group	2332-0893
serial	Akuatik Jurnal Sumberdaya Perairan	1978-1652	2656-5498	2019	12		2021	14				container_krjwpucgvrdh3ezffcihgvxbsi	fulltext		Universitas Bangka Belitung	1978-1652
serial	Journal of Artificial Evolution and Applications	1687-6229	1687-6237	2009	2009		2010	2010				container_ad4xyzq6k5ffpcq35v5q5sogxe	fulltext		Hindawi Limited	1687-6229
serial	ISRN Nursing	2090-5483	2090-5491	2011	2011		2014	2014				container_ptn3yvwolzadnfo3guuppb4p2e	fulltext		Hindawi (International Scholarly Research Network)	2090-5483
serial	Manuscrits Revista d història moderna	0213-2397	2014-6000	2012	30		2022	42				container_jjxqcrbwezgnzhxccnuo7arxdy	fulltext		Universitat Autonoma de Barcelona	0213-2397
serial	Ciência e Técnica Vitivinícola	2416-3953	2416-3953	2014	29		2019	34				container_jsjmm6ab7jcplhj4ejze7e4k54	fulltext		EDP Sciences	2416-3953
serial	Papel Político		2145-0617	2014	19		2018	22				container_seyod72wobhqle7fiimrbqsctm	fulltext		Pontificia Universidad Javeriana, Bogota	2145-0617
serial	Malia: jurnal ekonomi Islam Universitas Yudharta Pasuruan	2087-9636	2549-2578	2019	10		2022	13				container_j4hpmkmy65aapkli5vc6eg6zqa	fulltext		Universitas Yudharta Pasuruan	2549-2578
serial	The Philippine Journal of Fisheries	0048-377X		2018	25		2019	26				container_spzaqcjgvvdddp5maebssbs5xe	fulltext		National Fisheries Research and Development Institute	0048-377X
serial	Annales UMCS Biologia	0066-2232	2083-3563	2008	63		2019	73				container_6vk5fi6israbrompw5ndw7uph4	fulltext		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej w Lublinie	0066-2232
serial	Majalah Lontar	0853-0041		2020	32		2021	33				container_apgigfbyxjbm5llp3iunenfzgu	fulltext			0853-0041
serial	Jurnal Gizido	2085-6709		2018	10		2020	12				container_iw4sqhofgze2fgsghwrluem3ou	fulltext			2085-6709
serial	Вісник дніпропетровського університету Педагогіка і психологія	2312-8860		2011	19		2013	21				container_d5eizbs7gbf2tdxrxhmjxjddaa	fulltext		Oles Honchar Dnipropetrovsk National University	2312-8860
serial	Materials Science and Applied Chemistry	1407-7353	2255-8713	2013	28		2018	35				container_q5yv7mx6fbdgjnhyb4np6hrq4a	fulltext		Sciendo	2255-8713
serial	The Journal of Korean Institute of Educational Facilities	1227-7258		2012	19		2015	22				container_2ofrng2wqfd5dfnkcsrrpnz5w4	fulltext		Korean Institute of Educational Facilities	1227-7258
serial	Universitas Philosophica	0120-5323	2346-2426	2016	33		2021	38				container_2llnqovjujddhaefhwjhx2hz5u	fulltext		Editorial Pontificia Universidad Javeriana	0120-5323
serial	ISRN Veterinary Science	2090-4452	2090-4460	2011	2011		2014	2014				container_zfqaezrhvjahdm4nhiholn35ca	fulltext		Hindawi (International Scholarly Research Network)	2090-4452
serial	Animal Research/Annales de Zootechnie	1627-3583	1627-3591	2001	50		2006	55				container_r22j7mhitbhizoj5mka7hq2q64	fulltext		EDP Sciences	1627-3583
serial	Chashm/andÄ?z-i mudÄ«riyyat-i dulati	2251-6069		2000	18		2020	19				container_oau22hn3prhs3d3l3wqiuqt3pa	fulltext			2251-6069
serial	Protée	0300-3523	1708-2307	1998	26		2011	39				container_zg3mkvg27newjhk3nytwn3cbp4	fulltext		Consortium Erudit	0300-3523
serial	The UW National Parks Service Research Station Annual Reports	2693-2385	2693-2407	2018	41		2019	42				container_x4qctl2cevexlbfjcscyiaocgm	fulltext		University of Wyoming Libraries	2693-2385
serial	Economicus	1978-7294		2020	12		2022	16				container_mq2aha7v6zfudb5ic2ptuozqxy	fulltext			1978-7294
serial	Hypothesis : the newsletter of the Research Section of MLA	1093-5665	2688-1268	2011	9		2023	35				container_qz22i7magbeyle45ylvogeiclu	fulltext		IUPUI University Library	1093-5665
serial	École thématique de la Société Française de la Neutronique	2107-7223	2107-7231	2007	11		2014	13				container_5p6c5lsmkrgchgif72kphef3vq	fulltext		EDP Sciences	2107-7223
serial	Gripla	1018-5011	2351-4264	2020	31		2021	32				container_oqddyn7vlrfdbbjn23tijpubri	fulltext		Árni Magnússon Institute for Icelandic Studies	1018-5011
serial	ПРОБЛЕМИ ІСТОРІЇ ГОЛОКОСТУ: Український вимір	2617-9113	2617-9121	2018	10		2022	14				container_ndanesbiqbhmfpid2lccyuvtwe	fulltext		TKUMA Ukrainian Institute for Holocaust Studies	2617-9113
serial	Central European Journal of Energetic Materials	1733-7178	2353-1843	2016	13		2020	17				container_237hdsqy6jgybi46pyvi5pdxpq	fulltext		Institute of Industrial Organic Chemistry (IPO)	1733-7178
serial	Poznańskie Studia Polonistyczne Seria Językoznawcza	1233-8672	2450-4939	2009	15		2021	28				container_daey66dnczd65koh3ynts5usna	fulltext		Adam Mickiewicz University Poznan	1233-8672
serial	Bulletin Mineralogie Petrologie	2570-7337	2570-7345	2020	28		2021	29				container_jaqkmcprobenfkoz2lpsac2kiu	fulltext		Bulletin Mineralogie Petrologie	2570-7337
serial	RUDN Journal of Russian and Foreign Languages Research and Teaching	2313-2264	2408-8889	2017	15		2018	16				container_gycuwwkp5vfyppphhbjlgn2q5u	fulltext		Peoples' Friendship University of Russia	2313-2264
serial	Interdisciplinar. Revista de estudos em língua e literatura		1980-8879	2019	31		2022	38				container_qfbk327wx5aybdbjtlyjrziiay	fulltext		Universidade Federal de Sergpipe	1980-8879
serial	Journal of Physics and Electronics	2616-8685	2664-3626	2018	26		2022	30				container_nmrrkvq4nzdcdew6m5qtdrkwdu	fulltext		Oles Honchar Dnipropetrovsk National University	2616-8685
serial	Romanica Silesiana	1898-2433	2353-9887	2019	15		2021	20				container_6nxdqf2snndt5a5aiesyr2gpzi	fulltext		University of Silesia in Katowice	1898-2433
serial	Annales Universitatis Paedagogicae Cracoviensis | Studia ad Bibliothecarum Scientiam Pertinentia	2081-1861	2300-3057	2017	14		2021	19				container_hboqenp44jfkzif525pvxbtacy	fulltext		The Pedagogical University of Cracow/Uniwersytet Pedagogiczny w Krakowie	2081-1861
serial	Studia Katechetyczne	0138-0672		2016	11		2021	17				container_byc6exuczrf7ncgijrdj45df7e	fulltext		Uniwersytet Kardynala Stefana Wyszynskiego	0138-0672
serial	Half-Yearly Persian Language and Literature	2476-6925	2476-6941	2015	23		2021	29				container_hkzrmee4sfgu3oubqz3pr67tau	fulltext		Armenian Green Publishing Co	2476-6925
serial	Studia Językoznawcze synchroniczne i diachroniczne aspekty badań polszczyzny	1730-4180	2353-3161	2015	14		2021	20				container_vpxlpfxh4vf5pkmqp2v5k4uc2a	fulltext		University of Szczecin	1730-4180
serial	La Revista de Derecho	2309-5296		2013	30		2022	43				container_goi4pi5qdrglzpen5vhy34jlgy	fulltext		Latin America Journals Online	2309-5296
serial	Revista Educativa - Revista de Educação	1415-0492	1983-7771	2015	18		2020	23				container_xqyocvcgcvgjrh4vq4g3cml63m	fulltext		Pontifica Universidade Catolica de Goias -PUC Goias	1415-0492
serial	Revista geociências – UnG		1981-741X	2019	18		2022	21				container_g5ka7ck3pbd5fpz5r2kpdja3nm	fulltext		Universidade Guarulhos	1981-741X
serial	Revista Interamericana de Psicología Ocupacional	2539-5238	2500-5669	2016	33		2020	38				container_nmmm5lgehfcubkgkju2f2axykm	fulltext		Centro de Investigación en Comportamiento Organizacional Cincel	2539-5238
serial	Scrinia Slavonica	1332-4853	1848-9109	2019	19		2023	23				container_rdkg3dzzyjd2fdj3wcimnoblyq	fulltext		Hrvatski institut za povijest - Podružnica za povijest Slavonije, Srijema i Baranje	1332-4853
serial	Periódico Psicanálise e Barroco		1679-9887	2018	16		2022	20				container_xclfhd4wbbad5acfbjstnhm5ya	fulltext		Universidade Federal do Estado do Rio de Janeiro	1679-9887
serial	Revista EVS - Revista de Ciências Ambientais e Saúde	0103-0876	1983-781X	2016	43		2023	49				container_ai2d5orfirbr3aarxy5xcnebwu	fulltext		Pontifica Universidade Catolica de Goias -PUC Goias	0103-0876
serial	Journal of Biological Research - Thessaloniki	1790-045X	2241-5793	2014	21		2020	27				container_kga3wj5jurhgflm5yjfqv2bnyy	fulltext		BMC	1790-045X
serial	International Journal of Pediatric Endocrinology	1687-9848	1687-9856	2011	2011		2019	2019				container_mes6pz4vnffrpf4hkvlban7uli	fulltext		Springer (Biomed Central Ltd.)	1687-9848
serial	Lumen	1209-3696	1927-8284	1993	12		2020	39				container_mulkmf4ypffpnbaldt64x42vpi	fulltext		Consortium Erudit	1209-3696
serial	Mathematical journal of Ibaraki University	1343-3636	1883-4353	1997	29		2022	54				container_nrrlfuppejhnlhdiowe56l5dwe	fulltext		Department of Mathematics, Faculty of Science	1343-3636
serial	Kebudayaan	1907-5561	2685-8088	2020	13		2021	16				container_hdsebmcntjennn4bw2zgrpbtau	fulltext		Badan Penelitian dan Pengembangan Kemdikbud	1907-5561
serial	TREUBIA	0082-6340	2337-876X	2019	45		2022	49				container_i3govkmp6jehvcbweeu7a2m7uu	fulltext		Indonesian Institute of Sciences	2337-876X
serial	Geografia	0100-7912	1983-8700	2017	42		2022	47				container_jesmtwt4vrbl7fhikk7ok3nayi	fulltext		Campus de Rio Claro, Universidade Estadual Paulista Júlio de Mesquita Filho	0100-7912
serial	Ictus. Periódico do Programa de Pós-Graduação em Música da Universidade Federal da Bahia	1560-2737	2238-6599	2020	14		2021	15				container_kyyyyxglmfbshicjt7yhs45ooi	fulltext		Programa de Pós-Graduação em Música, Universidade Federal da Bahia	2238-6599
serial	Ekspansi: Jurnal Ekonomi, Keuangan, Perbankan dan Akuntansi	2085-5230	2580-7668	2021	13		2022	14				container_cvr4pgqkdff73l3san4w2wm5tq	fulltext		Politeknik Negeri Bandung	2085-5230
serial	Journal of Friction and Wear	0202-4977		1980	41		2022	43				container_anmkbqqcjvetlm3uwae6qlrbba	fulltext		The State Scientific Institution V.A. Belyi Metal-Polymer Research Institute of National Academy of Sciences	0202-4977
serial	Prilozi Instituta za Arheologiju u Zagrebu	1330-0644	1848-6371	2018	35		2021	38				container_aur76o3mvrcg3j2vysqlbiwnfm	fulltext		Institute of Archaeology	1330-0644
serial	Jurnal Riset Industri Hasil Hutan	2086-1400	2503-0779	2019	11		2021	13				container_q3qi664k2fdmxhdl4xjacvn6t4	fulltext		Jurnal Riset Industri Hasil Hutan	2503-0779
serial	Zoologica Poloniae	0044-510X	2083-6112	2008	53		2014	59				container_42mc5sb27jguvimf2gybfb5cee	fulltext		De Gruyter Open Sp. z o.o.	0044-510X
serial	Construção psicopedagógica	1415-6954	2175-3474	2020	28		2021	30				container_kgwok2x6sfdpnfckmzwhoxu234	fulltext		Departamento de Psicopedagogia, Instituto Sedes Sapientiae	1415-6954
