publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	oclc_number
Current Advances in Cell & Developmental Biology 1984-2001	0741-1626		1984-01	1		2001-12	18	12	https://archive.org/details/pub_current-advances-in-cell-developmental-biology		pub_current-advances-in-cell-developmental-biology		fulltext		ELSEVIER LTD.	serial								F	896847837
Current Advances in Clinical Chemistry 1974-2001	0885-1980		1974-01	1		2001-12	28	12	https://archive.org/details/pub_current-advances-in-clinical-chemistry		pub_current-advances-in-clinical-chemistry		fulltext		ELSEVIER LTD.	serial								F	476605199
Current Advances in Ecological & Environmental Sciences 1975-2005	0955-6648		1975-01	1	1	2005-12	31	12	https://archive.org/details/pub_current-advances-in-ecological-environmental-sciences		pub_current-advances-in-ecological-environmental-sciences		fulltext		ELSEVIER LTD.	serial								F	732889756
Current Advances in Endocrinology 1984-1987	0741-1634		1984-01	1	1	1987-12	4	12	https://archive.org/details/pub_current-advances-in-endocrinology		pub_current-advances-in-endocrinology		fulltext		ELSEVIER LTD.	serial								F	1068645709
Current Advances in Endocrinology and Metabolism 1984-2000	0964-8720		1984-01	1	1	2000-12	17	12	https://archive.org/details/pub_current-advances-in-endocrinology-and-metabolism		pub_current-advances-in-endocrinology-and-metabolism		fulltext		ELSEVIER LTD.	serial								F	925245335
Current Advances in Genetics 1976-1980	0360-8360		1976-01	1		1980-01	5		https://archive.org/details/pub_current-advances-in-genetics		pub_current-advances-in-genetics		fulltext		ELSEVIER LTD.	serial								F	924881993
Current Advances in Genetics & Molecular Biology 1984-2001	0741-1642		1984-01	1	1	2001-12	18	12	https://archive.org/details/pub_current-advances-in-genetics-molecular-biology		pub_current-advances-in-genetics-molecular-biology		fulltext		ELSEVIER LTD.	serial								F	896847839
Current Advances in Immunology & Infectious Diseases 1984-2001	0964-8747		1984-01	1	1	2001-12	18	12	https://archive.org/details/pub_current-advances-in-immunology-infectious-diseases		pub_current-advances-in-immunology-infectious-diseases		fulltext		ELSEVIER LTD.	serial								F	1070383634
Current Advances in Neuroscience 1984-2001	0741-1677		1984-01	1	1	2001-12	18	12	https://archive.org/details/pub_current-advances-in-neuroscience		pub_current-advances-in-neuroscience		fulltext		ELSEVIER LTD.	serial								F	1125290372
Current Advances in Plant Science 1972-2001	0306-4484		1972-07	1	1	2001-12	33	12	https://archive.org/details/pub_current-advances-in-plant-science		pub_current-advances-in-plant-science		fulltext		ELSEVIER LTD.	serial								F	1088744057
Current Advances in Protein Biochemistry 1984-2001	0965-0504		1984-01	1	1	2001-12	18	12	https://archive.org/details/pub_current-advances-in-protein-biochemistry		pub_current-advances-in-protein-biochemistry		fulltext		ELSEVIER LTD.	serial								F	715333792
Current Advances in Toxicology 1984-2001	0965-0512		1984-01	1	1	2001-12	18	12	https://archive.org/details/pub_current-advances-in-toxicology		pub_current-advances-in-toxicology		fulltext		ELSEVIER LTD.	serial								F	997399683
Current Affairs Bulletin 1972-1995	0011-3182		1972-06	49	1	1995-04	71	6	https://archive.org/details/pub_current-affairs-bulletin		pub_current-affairs-bulletin		fulltext		Workers Educational Association	serial								F	219823753
Current Affairs Translations Bulletin 1975-1976	0046-9165		1975-01			1976-12		12	https://archive.org/details/pub_current-affairs-translations-bulletin		pub_current-affairs-translations-bulletin		fulltext		Indonesian Current Affairs	serial								F	222090231
Current Anthropology 1960-2014	0011-3204		1960-01	1	1	2014-12	55	SUPPLEMENT	https://archive.org/details/pub_current-anthropology		pub_current-anthropology		fulltext		acting through its Press	serial								F	1565600
Current Awareness in Biological Sciences: CABS 1977-1984	0733-4443		1977-01	84	1	1984-09	101	9	https://archive.org/details/pub_current-awareness-in-biological-sciences-cabs		pub_current-awareness-in-biological-sciences-cabs		fulltext		ELSEVIER LTD.	serial								F	934850427
Current Background / United States Consulate General	0499-0358		1970-01		1	1976-12		15	https://archive.org/details/pub_current-background-us-consulate		pub_current-background-us-consulate		fulltext		American Consulate General	serial								F	
A Current Bibliography on African Affairs	0011-3255		1975-01	8	1	1995-01	27	4	https://archive.org/details/pub_current-biblio-on-african-affairs		pub_current-biblio-on-african-affairs		fulltext		Sage Publications, Inc.	serial								F	896736234
Current Bibliography of Epidemiology 1974-1976	0011-3247		1974-01	6	1	1976-12	8	12	https://archive.org/details/pub_current-bibliography-of-epidemiology		pub_current-bibliography-of-epidemiology		fulltext		Superintendent of Government Documents	serial								F	1012017293
Current Biography	0011-3344		2012-01	73		2012-11	73	11	https://archive.org/details/pub_current-biography		pub_current-biography		fulltext		Grey House Publishing	serial								F	
Current Biography Yearbook	0084-9499		1976-01			1995-01			https://archive.org/details/pub_current-biography-yearbook		pub_current-biography-yearbook		fulltext		Grey House Publishing	serial								F	
CB : Current Biology	0960-9822		1994-01	4	1	1994-01	4	1	https://archive.org/details/pub_current-biology		pub_current-biology		fulltext		Current Biology Ltd.	serial								F	23593628
Current Concepts of Cerebrovascular Disease. Stroke 1976-1991	0884-4194		1976-01	11	1	1991-11	26	6	https://archive.org/details/pub_current-concepts-of-cerebrovascular-disease-stroke		pub_current-concepts-of-cerebrovascular-disease-stroke		fulltext		American Heart Association, Inc.	serial								F	8641482
Current Developments in the Eastern European Churches	0512-2627		1959-01		1	1967-11		3-4	https://archive.org/details/pub_current-developments-churches		pub_current-developments-churches		fulltext		World Council of Churches	serial								F	1058256783
Current Developments in the United States Foreign Policy			1947-09	1	1	1948-05	1	9	https://archive.org/details/pub_current-developments-us-foreign-policy		pub_current-developments-us-foreign-policy		fulltext		The Brookings Institute	serial								F	
Current Dialogue	1814-2230		1971-03		1	1980-06		1	https://archive.org/details/pub_current-dialogue		pub_current-dialogue		fulltext		World Council of Churches	serial								F	37017093
The Current Digest of the Russian Press	2159-3612		1949-05	1	18	1952-08	4	26	https://archive.org/details/pub_current-digest-of-the-russian-press		pub_current-digest-of-the-russian-press		fulltext		East View Press	serial								F	1565621
Current Directions in Psychological Science 1994-2011	0963-7214		1994-02	3	1	2011-12	20	6	https://archive.org/details/pub_current-directions-in-psychological-science		pub_current-directions-in-psychological-science		fulltext		SAGE PUBLICATIONS, INC.	serial								F	25768799
Current Economic Comment	2994-2500		1940-02	2	1	1960-11	22	4	https://archive.org/details/pub_current-economic-comment		pub_current-economic-comment		fulltext		Bureau of Business and Economic Research, University of Illinois	serial								F	8901575
Biology Bulletin Monthly	0890-877X		1978-05	1		1980-05	2	9	https://archive.org/details/pub_current-energy-and-ecology		pub_current-energy-and-ecology		fulltext		General Learning Corporation 01_serials-process.sh 1039816.IAILL.20220526.mrc 1039816.IAILL.20220526_all.mrc 1039816.IAILL.20220612.mrc 5gaps.txt ALL_20211205.jsonl ALL_20220116.jsonl ALL_20220128.jsonl ALL_20220217.jsonl ALL_20220221.jsonl ALL_20220301.jsonl ALL_20220307.jsonl ALL_20220320.jsonl ALL_20220418.jsonl ALL_20220510.jsonl ALL_20220516.jsonl ALL_20220526.jsonl ALL_20220612.jsonl ALL_20230727.jsonl ALL_20230824.jsonl ALL_20231115.jsonl ALL_20231115.jsonl.bak ALL_20240507.jsonl ALL_20240712.jsonl ALL_20250122.jsonl ALL_20250731.jsonl BOSTON_SCAN.tmp.jsonl GTU-OCLCs.tsv IA_Serials_20220510_test0001.mrc IA_Serials_20220510_test0002.mrc IA_Serials_20220516_test0001.mrc InternetArchive_Global_Serials_20230727.txt InternetArchive_Global_Serials_20230824.txt InternetArchive_Global_Serials_20231115.txt InternetArchive_Global_Serials_20231115.txt.bak InternetArchive_Global_Serials_20240507.txt InternetArchive_Global_Serials_20240712.txt InternetArchive_Global_Serials_20250122.txt InternetArchive_Serials_20211205.txt InternetArchive_Serials_20220116.txt InternetArchive_Serials_20220128.txt InternetArchive_Serials_20220217.txt InternetArchive_Serials_20220221.txt InternetArchive_Serials_20220301.txt InternetArchive_Serials_20220307.txt InternetArchive_Serials_20220320.txt InternetArchive_Serials_20220418.txt InternetArchive_Serials_20220510.txt InternetArchive_Serials_20220516.txt InternetArchive_Serials_20220526.txt InternetArchive_Serials_20220612.txt InternetArchive_Serials_KBART_20240712.zip InternetArchive_Serials_KBART_20250122.zip OCLC-record-matching-map.tsv OCN-already-present.tsv UHM-OCLCs-Sheet1.tsv allOCNs_20220127.tsv batch-check.sh check-these.tsv check-these_CHECKED_001.tsv check607.log check707.log check807.log check907.log count-identifers.sh exclude.lst gapcheck.py generate-serial-input.sh get-issues.sh homeideas.lst issn-wo-ocn.lst issn-wo-ocn.tsv last-issue-pre1950.tsv last-ocn-notmatch.tsv lhrgen.py multis-to-check.lst nogapcheck.log nogapcheck2.log nohup.out ocn-check.py ocn-remove-remaining.tsv ocn-to-remove.tsv serials_20211205.jsonl serials_20220116.jsonl serials_20220127_ORIG.jsonl serials_20220128.jsonl serials_20220217.jsonl serials_20220221.jsonl serials_20220301.jsonl serials_20220307.jsonl serials_20220320.jsonl serials_20220418.jsonl serials_20220510.jsonl serials_20220516.jsonl serials_20220526.jsonl serials_20220612.jsonl serials_20230727.jsonl serials_20230824.jsonl serials_20231115.jsonl serials_20240507.jsonl serials_20240712.jsonl serials_20250122.jsonl serials_20250731.jsonl setOCN.py test.tsv to-clean.lst wcat work Curriculum Innovations Group	serial								F	8266724
Current Events 1965-2007	0011-3492		1965-09	65	1	2008-05	107	25	https://archive.org/details/pub_current-events		pub_current-events		fulltext		Scholastic Inc.	serial								F	2250335
Current Eye Research	0271-3683		1988-01	7	1	1996-12	15	12	https://archive.org/details/pub_current-eye-research		pub_current-eye-research		fulltext			serial								F	6629649
Current Genetics 1981-2011	0172-8083		1981-04	3	1	2011-12	57	6	https://archive.org/details/pub_current-genetics		pub_current-genetics		fulltext		Springer Science & Business Media	serial								F	1131916526
Current Geographical Publications 1938-2003	0011-3514		1938-01	1	1	2003-12	66	10	https://archive.org/details/pub_current-geographical-publications		pub_current-geographical-publications		fulltext		American Geographical Society	serial								F	1479917
Current Health 1 1977-2009	0199-820X		1977-09	1	1	2009-04	32	8	https://archive.org/details/pub_current-health-1		pub_current-health-1		fulltext			serial								F	6190101
Current Health Teens 1974-2011	2157-5703		1974-09	1	1	2012-04	38	8	https://archive.org/details/pub_current-health-teens		pub_current-health-teens		fulltext		Scholastic Inc.	serial								F	746949999
Current History 1941-2015	0011-3530		1924-04	20	1	2014-12	113	767	https://archive.org/details/pub_current-history		pub_current-history		fulltext		Current History, Inc.	serial								F	1565627
Current History & Forum 1914-1941	0011-3530		1914-12	1	1	1972-12	63	376	https://archive.org/details/pub_current-history-forum		pub_current-history-forum		fulltext		Current History, Inc.	serial								F	241307493
Current Index to Journals in Education	0011-3565		1987-01			1987-01			https://archive.org/details/pub_current-index-to-journals-in-education		pub_current-index-to-journals-in-education		fulltext		ERIC (Education Resources Information Center)	serial								F	
Current Inquiry Into Language and Linguistics 1971-1973			1971-01		1	1973-01	8		https://archive.org/details/pub_current-inquiry-into-language-and-linguistics		pub_current-inquiry-into-language-and-linguistics		fulltext		Linguistic Research Inc	serial								F	
Current Issues in Higher Education 1947-1983	0070-1971		1947-03			1983-01		4	https://archive.org/details/pub_current-issues-in-higher-education		pub_current-issues-in-higher-education		fulltext		American Association for Higher	serial								F	1154560286
Current Lifestudies 1978-1982	0199-8218		1978-09	2	1	1982-05	5	9	https://archive.org/details/pub_current-lifestudies		pub_current-lifestudies		fulltext			serial								F	6190038
Current List of Medical Literature 1941-1959			1941-01	1	1	1959-11	36	5	https://archive.org/details/pub_current-list-of-medical-literature		pub_current-list-of-medical-literature		fulltext		Superintendent of Government Documents	serial								F	
Current Literature 1967-1970	0032-3217		1967-01		693	1970-12		740	https://archive.org/details/pub_current-literature		pub_current-literature		fulltext		NAP Title Bucket	serial								F	688358734
Current Literature in Traffic and Transportation 1960-2001	0011-3654		1960-01	1	1-2	2001-10	42	4	https://archive.org/details/pub_current-literature-in-traffic-and-transportation		pub_current-literature-in-traffic-and-transportation		fulltext		Northwestern University	serial								F	1565654
Current Medical Practice 1972	0011-3700		1972-01	16	1	1972-12	16	12	https://archive.org/details/pub_current-medical-practice		pub_current-medical-practice		fulltext		Current Technical Literature Company	serial								F	1070626900
Current Medical Research and Opinion 1979-2005	0300-7995		1979-01	6	1	2005-12	21	12	https://archive.org/details/pub_current-medical-research-and-opinion		pub_current-medical-research-and-opinion		fulltext		Informa Healthcare	serial								F	1778119
Current Microbiology 1981-2000	0343-8651		1978-01	1	1	2005-12	51	6	https://archive.org/details/pub_current-microbiology		pub_current-microbiology		fulltext		Springer Science & Business Media	serial								F	909460289
Current Musicology 1965-2012	0011-3735		1965-03			2012-09		94	https://archive.org/details/pub_current-musicology		pub_current-musicology		fulltext		Department of Music	serial								F	1565661
Current Nematology	0971-0116		1990-06	1	1	2012-06	23	1-2	https://archive.org/details/pub_current-nematology		pub_current-nematology		fulltext		Bioved Research Society	serial								F	
Current Opinion 1888-1925			1888-07	1	1	1925-04	78	4	https://archive.org/details/pub_current-opinion		pub_current-opinion		fulltext		Open Court Publishing Co	serial								F	
Journal of Current Podiatric Medicine	0893-2034		1972-01	21	1	1982-12	31	12	https://archive.org/details/pub_current-podiatry		pub_current-podiatry		fulltext		Current Podiatry Publications, Inc.	serial								F	14077134
Current Problems in Cancer 1980-2002	0147-0272		1980-07	5	1	2002-11	26	6	https://archive.org/details/pub_current-problems-in-cancer		pub_current-problems-in-cancer		fulltext		ELSEVIER LTD.	serial								F	869034578
Current Problems in Cardiology 1991-2003	0146-2806		1991-01	16	1	2003-12	28	12	https://archive.org/details/pub_current-problems-in-cardiology		pub_current-problems-in-cardiology		fulltext		ELSEVIER LTD.	serial								F	890364029
Current Problems in Obstetrics, Gynecology and Fertility 1991-2002	8756-0410		1991-01	14	1	2002-11	25	6	https://archive.org/details/pub_current-problems-in-obstetrics-gynecology-and-fertility		pub_current-problems-in-obstetrics-gynecology-and-fertility		fulltext		ELSEVIER LTD.	serial								F	1068002472
Current Problems in Pediatric and Adolescent Health Care 1991-2010	1538-5442		1991-01	21	1	2010-11	40	10	https://archive.org/details/pub_current-problems-in-pediatric-and-adolescent-health-care		pub_current-problems-in-pediatric-and-adolescent-health-care		fulltext		ELSEVIER LTD.	serial								F	957003414
Current Problems in Surgery 1964-2013	0011-3840		1964-01			2013-12	50	12	https://archive.org/details/pub_current-problems-in-surgery		pub_current-problems-in-surgery		fulltext		ELSEVIER LTD.	serial								F	869034475
Current Psychology 1984-2009	1046-1310		1984-03	3	1	2009-12	28	4	https://archive.org/details/pub_current-psychology		pub_current-psychology		fulltext		Springer Science & Business Media	serial								F	18767012
Current Science 1965-2009	0011-3905		1965-09	51	1	2009-05	94	16	https://archive.org/details/pub_current-science		pub_current-science		fulltext		Scholastic Inc.	serial								F	4043994
Current Science 1932-1996	0011-3891		1932-07	1	1	2009-10	97	8	https://archive.org/details/pub_current-science-in		pub_current-science-in		fulltext		Indian Academy of Sciences	serial								F	1222759269
Current Slang 1966-1971	0011-3913		1966-01	2	SUPPLEMENT	1971-12	6	1	https://archive.org/details/pub_current-slang		pub_current-slang		fulltext		University of South Dakota	serial								F	1565680
Current Sociology	0011-3921		1975-01	23	1	2007-11	55	6	https://archive.org/details/pub_current-sociology		pub_current-sociology		fulltext		Sage Publications, Inc.	serial								F	
Current Theology			1964-01	1	1-2	1969-05	6	5	https://archive.org/details/pub_current-theology		pub_current-theology		fulltext		Faculty of the Christ the King Seminary	serial								F	1781852
Current Titles and Abstracts in Immunology, Transplantation and Allergy 1974-1980	0169-1244		1979-01	7	1	1980-01	7	26	https://archive.org/details/pub_current-titles-and-abstracts-transplantation-and-allergy		pub_current-titles-and-abstracts-transplantation-and-allergy		fulltext		ELSEVIER LTD.	serial								F	905749740
Current Topics in Behavioral Neurosciences	1866-3370		2010-01			2017-01			https://archive.org/details/pub_current-topics-in-behavioral-neurosciences		pub_current-topics-in-behavioral-neurosciences		fulltext		Springer	serial								F	
Current 1960-2016	0011-3131		1960-05		1	2014-12		568	https://archive.org/details/pub_current-uk		pub_current-uk		fulltext		Taylor & Francis Inc.	serial								F	1565595
Current World Leaders 1978-2006	0192-6802		1978-04	21	4	2006-02	49	1	https://archive.org/details/pub_current-world-leaders		pub_current-world-leaders		fulltext			serial								F	1084647257
Current World Leaders: Almanac 1957-1978	0002-6255		1957-09	1	1	1978-03	21	1	https://archive.org/details/pub_current-world-leaders-almanac		pub_current-world-leaders-almanac		fulltext		Current World Leaders Press	serial								F	4730892
Current World Leaders: Biography and News 1971-1978	0002-6263		1971-01	14	1	1981-11	24	6	https://archive.org/details/pub_current-world-leaders-biography-and-news		pub_current-world-leaders-biography-and-news		fulltext		Current World Leaders Press	serial								F	4577520
Current World Leaders. Speeches and Reports 1972-1977	0092-1386		1972-04	1	1	1977-12	6	3	https://archive.org/details/pub_current-world-leaders-speeches-and-reports		pub_current-world-leaders-speeches-and-reports		fulltext		Current World Leaders Press	serial								F	1770755
Current 1980-1985	0256-9914		1966-01		67	1985-12			https://archive.org/details/pub_current-za		pub_current-za		fulltext		Thomson Publ Sa Pty Ltd	serial								F	3963293
Currents 1975-2013	0748-478X		1975-09	1	1	2013-11	39	9	https://archive.org/details/pub_currents		pub_currents		fulltext		Council for Advancement and Support of	serial								F	10153689
Currents in Comparative Romance Languages and Literatures	0893-5963		2001-01	98		2018-01	254		https://archive.org/details/pub_currents-in-comparative-romance-languages-and-literatures		pub_currents-in-comparative-romance-languages-and-literatures		fulltext		Peter Lang Publishing, Inc.	serial								F	
Currents in Theology and Mission 1974-2015	0098-2113		1974-08	1	1	2014-12	41	6	https://archive.org/details/pub_currents-in-theology-and-mission		pub_currents-in-theology-and-mission		fulltext		Lutheran School of Theology at Chicago	serial								F	1448947
Currents: A Journal of Unification Thought and Culture	1046-6509		1989-08	1	1	1995-06	4	3	https://archive.org/details/pub_currents-thought-culture		pub_currents-thought-culture		fulltext		Currents	serial								F	20481543
Curriculum 1988-1991	0143-8689		1988-03	9	1	1991-03	12	1	https://archive.org/details/pub_curriculum		pub_curriculum		fulltext		Studies In Education, Limited	serial								F	1001491849
Curriculum Inquiry 1968-2014	0362-6784		1967-12		2	2014-06	44	3	https://archive.org/details/pub_curriculum-inquiry		pub_curriculum-inquiry		fulltext		Wiley Subscription Services, Inc.	serial								F	2670036
Curriculum Journal 1929-1943	0958-5176		1930-03	2	2	1943-05	14	5	https://archive.org/details/pub_curriculum-journal		pub_curriculum-journal		fulltext		Association for Supervision and	serial								F	2576039
Curriculum Product Review 1974-1980	0273-7418		1974-09	4	1	1980-05	14	9	https://archive.org/details/pub_curriculum-product-review		pub_curriculum-product-review		fulltext			serial								F	1586154
Curriculum Review 1976-2016	0147-2453		1976-02	15	1	2016-05	55	9	https://archive.org/details/pub_curriculum-review		pub_curriculum-review		fulltext		WD&S Publishing	serial								F	2272853
Cursos y conferencias : revista del Colegio Libre de Estudios Superiores	0327-4691		1931-07	1	1	1960-07	55	288	https://archive.org/details/pub_cursos-y-conferencias-argentina		pub_cursos-y-conferencias-argentina		fulltext		Colegio Libre de Estudios Superiores	serial								F	
Cushitic and Omotic Studies			1985-01			2006-01			https://archive.org/details/pub_cushitic-and-omotic-studies		pub_cushitic-and-omotic-studies		fulltext		Ruediger Koeppe Verlag	serial								F	
Cushman Foundation for Foraminiferal Research. Special Publication	0070-2242		1979-03		16	1985-02		16A	https://archive.org/details/pub_cushman-foundation-for-foraminiferal-research		pub_cushman-foundation-for-foraminiferal-research		fulltext		Cushman Foundation for Foraminiferal Research	serial								F	
Custom Builder 1987-1999	0895-2493		1987-10	2	10	1999-03	14	2	https://archive.org/details/pub_custom-builder		pub_custom-builder		fulltext		Miller Freeman Inc.	serial								F	16520871
Customer 1990-2010	1533-3078		1990-07	9	1	2010-05	28	12	https://archive.org/details/pub_customer		pub_customer		fulltext		Technology Marketing Corp	serial								F	474844788
Customs Bulletin and Decisions 1967-2015	0162-6442		1967-01	1		2006-12	40	52	https://archive.org/details/pub_customs-bulletin-and-decisions-regulations-rulings		pub_customs-bulletin-and-decisions-regulations-rulings		fulltext		Superintendent of Government Documents	serial								F	3200705
Cutis 1973-2002	0011-4162		1973-01	11	1	2002-12	70	6	https://archive.org/details/pub_cutis		pub_cutis		fulltext		Quadrant HealthCom Inc.	serial								F	1770756
Cutting Tool Engineering 1979-2008	0011-4189		1979-01	31	1-2	2008-12	60	12	https://archive.org/details/pub_cutting-tool-engineering		pub_cutting-tool-engineering		fulltext		C T E Publications Inc	serial								F	949653415
CW. Canadian Welfare 1924-1977	0008-5332		1924-01	1	1	1977-05	53	2	https://archive.org/details/pub_cw-canadian-welfare		pub_cw-canadian-welfare		fulltext		Canadian Council on Social Development	serial								F	3653380
CWS Connections			1984-02	1	1	1987-01	4	1	https://archive.org/details/pub_cws-connections		pub_cws-connections		fulltext		Church World Service	serial								F	11259145
CWSS Newsletter			1971-04	1	1	1971-09	1	4	https://archive.org/details/pub_cwss-newsletter		pub_cwss-newsletter		fulltext		Center for Women’s Studies and Services	serial								F	3949955
Cybernetica	0011-4227		1958-01	1	1	1998-01	41	2-4	https://archive.org/details/pub_cybernetica		pub_cybernetica		fulltext		International Association for Cybernetics	serial								F	
Cybernetics and Systems 1976-1996	0196-9722		1971-01	1	1	1996-11	27	6	https://archive.org/details/pub_cybernetics-and-systems		pub_cybernetics-and-systems		fulltext		Taylor & Francis Ltd	serial								F	5930760
Cybernetics and Systems Analysis 1965-1977	1060-0396		1965-01	1	1	1991-05	27	3	https://archive.org/details/pub_cybernetics-and-systems-analysis		pub_cybernetics-and-systems-analysis		fulltext		Springer Science & Business Media	serial								F	24858378
Cycle 1970-1991	0574-8135		1971-01	22	1	1991-10	42	10	https://archive.org/details/pub_cycle		pub_cycle		fulltext		Hachette Filipacchi Magazines, Inc.	serial								F	1565730
Cycle World 1973-2014	0011-4286		1973-01	12	1	2014-12	53	12	https://archive.org/details/pub_cycle-world		pub_cycle-world		fulltext		Bonnier Corporation	serial								F	1565731
Cycles	0011-4294		1950-09	1	2	1971-06	22	6	https://archive.org/details/pub_cycles		pub_cycles		fulltext		Cycles Research Institute	serial								F	
Cynick 1811			1811-09	1	1	1811-12	1	12	https://archive.org/details/pub_cynick		pub_cynick		fulltext		Open Court Publishing Co	serial								F	
The Cyprus Agricultural Journal	0366-841X		1936-06	31	Part 2	1936-06	31	Part 2	https://archive.org/details/pub_cyprus-agricultural-journal		pub_cyprus-agricultural-journal		fulltext		Cyprus Agricultural Journal Office	serial								F	5666744
Cyrillomethodianum	1010-2892		1984-01	8-9		1993-01	17-18		https://archive.org/details/pub_cyrillomethodianum		pub_cyrillomethodianum		fulltext		Association hellénique d'études slaves	serial								F	1367306444
Cytogenetic and Genome Research 1965-1975	1424-8581		1962-01	1		1984-01	38	Content	https://archive.org/details/pub_cytogenetic-and-genome-research		pub_cytogenetic-and-genome-research		fulltext		S. Karger AG	serial								F	50698625
Cytopathology 1991-1994	0956-5507		1991-01	2	1	1994-12	5	6	https://archive.org/details/pub_cytopathology		pub_cytopathology		fulltext		John Wiley & Sons, Inc.	serial								F	22155184
Cytotechnology 1989-1996	0920-9069		1989-02	2	1	1996-01	22	1-3	https://archive.org/details/pub_cytotechnology		pub_cytotechnology		fulltext		Springer Science & Business Media	serial								F	17645742
Czech Ecumenical News = Tschechische Ökumenische Nachrichten	0323-0422		1971-02	1	1	1982-12	12	4	https://archive.org/details/pub_czech-ecumenical-news		pub_czech-ecumenical-news		fulltext		Ecumenical Council of Churches in the Czech Socialist Republic	serial								F	456805088
Czech Mycology	1211-0981		1947-01	1	1	2019-12	71	2	https://archive.org/details/pub_czech-mycology		pub_czech-mycology		fulltext		Ceska Vedecka Spolecnost pro Mykologii	serial								F	
Czechoslovak Journal of Physics	0011-4626		1966-01	16	1	1976-01	B 26	9	https://archive.org/details/pub_czechoslovak-journal-of-physics		pub_czechoslovak-journal-of-physics		fulltext		Springer New York LLC	serial								F	
D: The Magazine of Dallas 1975-2008	0164-8292		1975-01	2	1	2008-12	35	12	https://archive.org/details/pub_d		pub_d		fulltext		American Express Publishing Corporation	serial								F	1131961433
D.H. Lawrence Review 1968-1992	0011-4936		1968-03	1	1	1992-09	24	3	https://archive.org/details/pub_d-h-lawrence-review		pub_d-h-lawrence-review		fulltext		D H Lawrence Review	serial								F	774405942
D M, Disease-A-Month 1954-2014	0011-5029		1954-10			2013-12	59	12	https://archive.org/details/pub_d-m-disease-a-month		pub_d-m-disease-a-month		fulltext		ELSEVIER LTD.	serial								F	1052787382
Daguerreotype: A Magazine of Foreign Literature and Science 1847-1849			1847-08	1	1	1849-04	3	12	https://archive.org/details/pub_daguerreotype-magazine-of-foreign-literature-science		pub_daguerreotype-magazine-of-foreign-literature-science		fulltext		Open Court Publishing Co	serial								F	
Daily Chronicle			1829-01	2	1	1829-12	2	311	https://archive.org/details/pub_daily-chronicle		pub_daily-chronicle		fulltext			serial								F	
The Daily Courant 1702-1735	2043-1996		1702-03		1	1735-06		6002	https://archive.org/details/pub_daily-courant		pub_daily-courant		fulltext			serial								F	863089175
Daily Gazetteer 1735-1745			1735-06		1	1745-09		5132	https://archive.org/details/pub_daily-gazetteer		pub_daily-gazetteer		fulltext		Open Court Publishing Co	serial								F	
Daily Memphis Avalanche Tenn			1867-05	9	118	1869-08	12	210	https://archive.org/details/pub_daily-memphis-avalanche-tenn		pub_daily-memphis-avalanche-tenn		fulltext			serial								F	
The Daily Universe 1977-1978			1977-01	31	SUPPLEMENT	1978-08	31	SUPPLEMENT	https://archive.org/details/pub_daily-universe		pub_daily-universe		fulltext		Brigham Young University	serial								F	1267420500
Daily Variety 1933-2013	0011-5509		2001-12	274	1	2008-12	301	60	https://archive.org/details/pub_daily-variety		pub_daily-variety		fulltext			serial								F	2536362
Daily Word 1924-1992	0011-5525		1924-07	1	1	1992-12	130	12	https://archive.org/details/pub_daily-word		pub_daily-word		fulltext		Unity School of Christianity	serial								F	1011439180
The Daily Worker 1924-1958	2769-4763		1924-01	1	311	1958-01	35	7	https://archive.org/details/pub_daily-worker		pub_daily-worker		fulltext		Daily Worker Pub. Co.	serial								F	1090021004
Dairy Council Digest 1993-1998	0011-5568		1993-01	64	1	1998-11	69	6	https://archive.org/details/pub_dairy-council-digest		pub_dairy-council-digest		fulltext		National Dairy Council	serial								F	1759176
Dairy Field 1985-2007	1055-0607		1985-01	168	1	2007-12	190	12	https://archive.org/details/pub_dairy-field		pub_dairy-field		fulltext		BNP Media	serial								F	1164177067
Dairy Foods 1981-2015	0888-0050		1981-01	82	1	2014-12	115	12	https://archive.org/details/pub_dairy-foods		pub_dairy-foods		fulltext		BNP Media	serial								F	1068225423
Dairy Goat Journal	0011-5592		1950-01	28	1	1993-11	71	9	https://archive.org/details/pub_dairy-goat-journal		pub_dairy-goat-journal		fulltext			serial								F	1012005435
Dairy Herd Management 1973-2000	0011-5614		1973-01	10	1	2000-12	37	12	https://archive.org/details/pub_dairy-herd-management		pub_dairy-herd-management		fulltext		Vance Publishing Corporation	serial								F	938737240
Dairy Industry News 1950-1952	0011-5649		1950-01	55	1	1952-12	60	6	https://archive.org/details/pub_dairy-industry-news		pub_dairy-industry-news		fulltext		I C F Publ Co	serial								F	
Dairy Foods Newsletter 1980-1981	1057-2619		1980-07	36	1	1981-06	36	25	https://archive.org/details/pub_dairy-industry-newsletter		pub_dairy-industry-newsletter		fulltext		Dairy Food Group of Gorman Pub.	serial								F	4368263
Situation and Outlook Report. Dairy 1975-1985	1050-9151		1975-03		354	1985-12		403	https://archive.org/details/pub_dairy-outlook-and-situation		pub_dairy-outlook-and-situation		fulltext		Superintendent of Government Documents	serial								F	14237318
